"port_name","state","port_code","border","date","measure","value","latitude","longitude","point"
"Portal","North Dakota","3403","US-Canada Border","2024-12-01T00:00:00.000","Trains","119","48.998944","-102.551944","POINT (-102.551944 48.998944)"
"Highgate Springs","Vermont","0212","US-Canada Border","2024-12-01T00:00:00.000","Trains","17","45.015414","-73.085037","POINT (-73.085037 45.015414)"
"Laredo","Texas","2304","US-Mexico Border","2024-12-01T00:00:00.000","Trucks","219326","27.499561","-99.507412","POINT (-99.507412 27.499561)"
"Pembina","North Dakota","3401","US-Canada Border","2024-12-01T00:00:00.000","Trucks","18864","49.000453","-97.237036","POINT (-97.237036 49.000453)"
"Del Bonita","Montana","3322","US-Canada Border","2024-12-01T00:00:00.000","Trucks","58","48.998555","-112.78825","POINT (-112.78825 48.998555)"
"Brownsville","Texas","2301","US-Mexico Border","2024-12-01T00:00:00.000","Trains","80","25.95155","-97.40067","POINT (-97.40067 25.95155)"
"Calexico East","California","2507","US-Mexico Border","2024-12-01T00:00:00.000","Trucks","35892","32.673389","-115.388018","POINT (-115.388018 32.673389)"
"Douglas","Arizona","2601","US-Mexico Border","2024-12-01T00:00:00.000","Trucks","2386","31.334043","-109.560344","POINT (-109.560344 31.334043)"
"Eastport","Idaho","3302","US-Canada Border","2024-12-01T00:00:00.000","Trains","104","49.000555","-116.181027","POINT (-116.181027 49.000555)"
"Trout River","New York","0715","US-Canada Border","2024-12-01T00:00:00.000","Trains","48","44.992058","-74.308172","POINT (-74.308172 44.992058)"
"Metaline Falls","Washington","3025","US-Canada Border","2024-12-01T00:00:00.000","Trucks","540","48.999972","-117.299444","POINT (-117.299444 48.999972)"
"Point Roberts","Washington","3017","US-Canada Border","2024-12-01T00:00:00.000","Trucks","792","49.0020555547","-123.068055556","POINT (-123.068055556 49.0020555547)"
"Ferry","Washington","3013","US-Canada Border","2024-12-01T00:00:00.000","Trucks","4","49.000083","-118.761166","POINT (-118.761166 49.000083)"
"Walhalla","North Dakota","3407","US-Canada Border","2024-12-01T00:00:00.000","Trucks","427","49.000472","-97.908416","POINT (-97.908416 49.000472)"
"Kenneth G Ward","Washington","3023","US-Canada Border","2024-12-01T00:00:00.000","Trucks","2740","49.002277","-122.485027","POINT (-122.485027 49.002277)"
"Rio Grande City","Texas","2307","US-Mexico Border","2024-12-01T00:00:00.000","Trucks","3345","26.365761","-98.802513","POINT (-98.802513 26.365761)"
"Progreso","Texas","2309","US-Mexico Border","2024-12-01T00:00:00.000","Trucks","3494","26.062133","-97.949958","POINT (-97.949958 26.062133)"
